ETAPA 4 NUEVO------------------------
Optimize a model with 7440785 rows, 5132160 columns and 17962560 nonzeros
Variable types: 2566080 continuous, 2566080 integer (2566080 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+04]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+05]
Presolve removed 6857983 rows and 2282472 columns (presolve time = 8s) ...
Presolve removed 6857983 rows and 4564944 columns (presolve time = 11s) ...
Presolve removed 6857983 rows and 4564944 columns (presolve time = 15s) ...
Presolve removed 6857983 rows and 4564944 columns (presolve time = 26s) ...
Presolve removed 6857983 rows and 4564944 columns (presolve time = 31s) ...
Presolve removed 7427115 rows and 5118768 columns (presolve time = 49s) ...
Presolve removed 7427115 rows and 5118768 columns
Presolve time: 49.06s
Presolved: 13670 rows, 13392 columns, 46872 nonzeros
Variable types: 0 continuous, 13392 integer (6696 binary)
Found heuristic solution: objective 2.103456e+08

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.1420938e+08   5.271450e+05   0.000000e+00     54s
    1638    2.1420938e+08   0.000000e+00   0.000000e+00     54s

Root relaxation: objective 2.142094e+08, 1638 iterations, 0.07 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2.1421e+08    0    5 2.1035e+08 2.1421e+08  1.84%     -   53s
H    0     0                    2.141994e+08 2.1421e+08  0.00%     -   53s

Explored 1 nodes (3491 simplex iterations) in 55.36 seconds
Thread count was 4 (of 4 available processors)

Solution count 2: 2.14199e+08 2.10346e+08 

Optimal solution found (tolerance 1.00e-04)
Best objective 2.141993750000e+08, best bound 2.142093750000e+08, gap 0.0047%
Valor objetivo: 214199375.0
Asignación de uva y ocupación de tanques:
Lote L_1_C4 asignado al tanque 3 en el día 115 con 25000.0 litros
Lote L_1_C4 asignado al tanque 15 en el día 111 con 25000.0 litros
Lote L_1_C4 asignado al tanque 20 en el día 110 con 25000.0 litros
Lote L_1_C4 asignado al tanque 22 en el día 115 con 25000.0 litros
Lote L_1_C4 asignado al tanque 24 en el día 113 con 25000.0 litros
Lote L_1_C4 asignado al tanque 28 en el día 116 con 25000.0 litros
Lote L_1_C4 asignado al tanque 29 en el día 117 con 25000.0 litros
Lote L_1_C4 asignado al tanque 30 en el día 111 con 25000.0 litros
Lote L_1_C4 asignado al tanque 33 en el día 113 con 25000.0 litros
Lote L_1_C4 asignado al tanque 47 en el día 112 con 25000.0 litros
Lote L_1_C4 asignado al tanque 53 en el día 113 con 25000.0 litros
Lote L_1_C4 asignado al tanque 53 en el día 117 con 25000.0 litros
