Lote COD,Lote Numero,Tipo Uva,tn/Lote,Dia optimo cosecha estimado inicialmente,Prob de lluvia (seca a lluvia),Prob de lluvia (lluvia a lluvia),usd Compra Futuro/ kg uva
L_1_C4,1,C4,217.5,118,0.43,0.39,0.257
L_2_C4,2,C4,517.5,123,0.35,0.44,0.269
L_3_C6,3,C6,450,79,0.46,0.38,0.362
L_4_C4,4,C4,168.75,122,0.32,0.51,0.276
L_5_C6,5,C6,243.75,104,0.49,0.6,0.348
L_6_C3,6,C3,150,96,0.31,0.56,0.579
L_7_C5,7,C5,558.75,109,0.43,0.39,0.795
L_8_C6,8,C6,442.5,78,0.38,0.35,0.36
L_9_C1,9,C1,300,125,0.36,0.35,0.528
L_10_C5,10,C5,108.75,79,0.5,0.56,0.806
L_11_C1,11,C1,555,100,0.31,0.53,0.557
L_12_C1,12,C1,412.5,124,0.41,0.33,0.516
L_13_C5,13,C5,547.5,89,0.5,0.48,0.811
L_14_C2,14,C2,498.75,116,0.44,0.52,0.416
L_15_C1,15,C1,101.25,127,0.31,0.48,0.554
L_16_C6,16,C6,502.5,97,0.47,0.34,0.361
L_17_C5,17,C5,536.25,113,0.45,0.39,0.82
L_18_C2,18,C2,247.5,91,0.37,0.43,0.407
L_19_C2,19,C2,457.5,81,0.39,0.41,0.413
L_20_C4,20,C4,225,74,0.33,0.41,0.274
L_21_C5,21,C5,427.5,75,0.36,0.35,0.828
L_22_C1,22,C1,420,72,0.39,0.35,0.554
L_23_C3,23,C3,262.5,95,0.42,0.39,0.601
L_24_C5,24,C5,363.75,115,0.49,0.55,0.808
L_25_C3,25,C3,168.75,122,0.45,0.46,0.588
L_26_C6,26,C6,442.5,123,0.38,0.54,0.356
L_27_C6,27,C6,168.75,121,0.49,0.52,0.361
L_28_C3,28,C3,382.5,92,0.42,0.48,0.596
L_29_C1,29,C1,285,81,0.37,0.56,0.549
L_30_C4,30,C4,101.25,75,0.5,0.39,0.273
L_31_C1,31,C1,307.5,120,0.36,0.32,0.544
L_32_C6,32,C6,521.25,89,0.46,0.58,0.34
L_33_C6,33,C6,303.75,100,0.34,0.55,0.344
L_34_C2,34,C2,135,76,0.48,0.41,0.403
L_35_C5,35,C5,341.25,117,0.41,0.33,0.828
L_36_C6,36,C6,450,82,0.47,0.34,0.36
L_37_C6,37,C6,330,96,0.38,0.51,0.345
L_38_C1,38,C1,183.75,100,0.47,0.38,0.544
L_39_C6,39,C6,161.25,80,0.32,0.52,0.357
L_40_C1,40,C1,146.25,92,0.5,0.34,0.533
L_41_C1,41,C1,472.5,115,0.48,0.53,0.544
L_42_C4,42,C4,352.5,129,0.32,0.35,0.259
L_43_C1,43,C1,108.75,122,0.44,0.33,0.531
L_44_C2,44,C2,367.5,76,0.44,0.6,0.412
L_45_C4,45,C4,498.75,89,0.32,0.38,0.27
L_46_C4,46,C4,446.25,127,0.4,0.43,0.267
L_47_C2,47,C2,225,92,0.49,0.42,0.396
L_48_C1,48,C1,461.25,101,0.39,0.34,0.541
L_49_C5,49,C5,412.5,109,0.41,0.43,0.831
L_50_C5,50,C5,540,113,0.36,0.42,0.781
L_51_C1,51,C1,412.5,103,0.4,0.36,0.526
L_52_C2,52,C2,450,84,0.49,0.49,0.406
L_53_C6,53,C6,247.5,84,0.43,0.32,0.345
L_54_C2,54,C2,307.5,75,0.36,0.36,0.394
L_55_C2,55,C2,558.75,78,0.31,0.42,0.408
L_56_C2,56,C2,483.75,117,0.3,0.49,0.395
L_57_C5,57,C5,232.5,76,0.36,0.52,0.798
L_58_C4,58,C4,165,90,0.34,0.55,0.272
L_59_C5,59,C5,487.5,92,0.37,0.6,0.829
L_60_C4,60,C4,510,74,0.32,0.35,0.27
L_61_C1,61,C1,333.75,99,0.34,0.39,0.513
L_62_C1,62,C1,228.75,130,0.48,0.44,0.551
L_63_C3,63,C3,153.75,95,0.32,0.46,0.588
L_64_C2,64,C2,382.5,98,0.35,0.33,0.416
L_65_C3,65,C3,341.25,91,0.39,0.37,0.584
L_66_C3,66,C3,108.75,127,0.3,0.4,0.602
L_67_C3,67,C3,498.75,97,0.32,0.52,0.591
L_68_C1,68,C1,236.25,90,0.41,0.58,0.555
L_69_C1,69,C1,187.5,116,0.5,0.46,0.548
L_70_C5,70,C5,153.75,118,0.43,0.4,0.822
L_71_C5,71,C5,487.5,88,0.48,0.32,0.817
L_72_C1,72,C1,217.5,101,0.45,0.43,0.528
L_73_C2,73,C2,292.5,82,0.37,0.41,0.392
L_74_C2,74,C2,142.5,78,0.34,0.5,0.417
L_75_C2,75,C2,311.25,93,0.38,0.49,0.415
L_76_C2,76,C2,277.5,79,0.49,0.43,0.415
L_77_C2,77,C2,423.75,89,0.31,0.49,0.404
L_78_C5,78,C5,438.75,98,0.38,0.57,0.801
L_79_C5,79,C5,386.25,95,0.43,0.41,0.834
L_80_C5,80,C5,303.75,104,0.35,0.58,0.77
L_81_C5,81,C5,371.25,115,0.41,0.48,0.795
L_82_C2,82,C2,356.25,97,0.45,0.39,0.409
L_83_C5,83,C5,532.5,116,0.49,0.44,0.83
L_84_C1,84,C1,277.5,130,0.46,0.43,0.536
L_85_C4,85,C4,195,125,0.39,0.44,0.265
L_86_C5,86,C5,262.5,113,0.49,0.41,0.833
L_87_C3,87,C3,525,76,0.5,0.35,0.606
L_88_C1,88,C1,390,88,0.38,0.59,0.538
L_89_C6,89,C6,318.75,116,0.39,0.54,0.356
L_90_C6,90,C6,105,123,0.36,0.45,0.357
L_91_C3,91,C3,457.5,75,0.49,0.41,0.576
L_92_C5,92,C5,416.25,116,0.35,0.54,0.832
L_93_C1,93,C1,401.25,95,0.42,0.39,0.544
L_94_C6,94,C6,371.25,119,0.48,0.41,0.356
L_95_C5,95,C5,213.75,81,0.3,0.34,0.787
L_96_C5,96,C5,296.25,93,0.47,0.52,0.764
L_97_C6,97,C6,521.25,111,0.38,0.45,0.348
L_98_C4,98,C4,408.75,108,0.36,0.49,0.278
L_99_C2,99,C2,127.5,88,0.43,0.46,0.415
L_100_C6,100,C6,326.25,77,0.48,0.43,0.338
L_101_C2,101,C2,191.25,116,0.34,0.46,0.406
L_102_C5,102,C5,532.5,99,0.4,0.36,0.818
L_103_C2,103,C2,543.75,115,0.4,0.36,0.405
L_104_C4,104,C4,487.5,74,0.36,0.35,0.264
L_105_C2,105,C2,131.25,107,0.35,0.37,0.408
L_106_C1,106,C1,427.5,79,0.34,0.49,0.556
L_107_C1,107,C1,367.5,92,0.31,0.42,0.524
L_108_C4,108,C4,202.5,83,0.38,0.39,0.277
L_109_C4,109,C4,165,90,0.48,0.54,0.277
L_110_C3,110,C3,551.25,128,0.33,0.57,0.601
L_111_C3,111,C3,502.5,113,0.49,0.34,0.573
L_112_C1,112,C1,371.25,79,0.49,0.44,0.554
L_113_C1,113,C1,558.75,128,0.4,0.34,0.554
L_114_C3,114,C3,487.5,84,0.48,0.51,0.61
L_115_C3,115,C3,431.25,72,0.44,0.48,0.609
L_116_C3,116,C3,161.25,124,0.3,0.34,0.592
L_117_C1,117,C1,378.75,121,0.41,0.52,0.519
L_118_C6,118,C6,547.5,103,0.41,0.56,0.344
L_119_C6,119,C6,157.5,85,0.38,0.48,0.361
L_120_C3,120,C3,217.5,71,0.42,0.46,0.605
L_121_C5,121,C5,386.25,125,0.44,0.6,0.823
L_122_C6,122,C6,120,106,0.33,0.5,0.358
L_123_C1,123,C1,288.75,89,0.47,0.57,0.557
L_124_C6,124,C6,138.75,127,0.48,0.45,0.359
L_125_C4,125,C4,138.75,73,0.33,0.6,0.272
L_126_C5,126,C5,187.5,71,0.36,0.35,0.831
L_127_C5,127,C5,187.5,110,0.32,0.38,0.813
L_128_C1,128,C1,292.5,103,0.39,0.39,0.541
L_129_C1,129,C1,150,118,0.47,0.39,0.556
L_130_C3,130,C3,142.5,77,0.47,0.52,0.609
L_131_C6,131,C6,198.75,77,0.43,0.52,0.351
L_132_C2,132,C2,442.5,110,0.36,0.39,0.414
L_133_C2,133,C2,198.75,124,0.44,0.39,0.41
L_134_C4,134,C4,191.25,88,0.32,0.47,0.273
L_135_C4,135,C4,375,111,0.4,0.36,0.273
L_136_C3,136,C3,502.5,73,0.47,0.36,0.591
L_137_C1,137,C1,472.5,130,0.5,0.5,0.55
L_138_C1,138,C1,517.5,88,0.49,0.6,0.536
L_139_C6,139,C6,416.25,124,0.42,0.34,0.358
L_140_C3,140,C3,127.5,101,0.33,0.53,0.607
L_141_C5,141,C5,416.25,86,0.34,0.35,0.835
L_142_C5,142,C5,480,90,0.32,0.41,0.814
L_143_C2,143,C2,127.5,108,0.45,0.54,0.399
L_144_C4,144,C4,210,128,0.42,0.38,0.271
L_145_C2,145,C2,183.75,102,0.49,0.36,0.404
L_146_C5,146,C5,551.25,88,0.46,0.4,0.814
L_147_C1,147,C1,277.5,116,0.44,0.37,0.556
L_148_C6,148,C6,296.25,104,0.48,0.43,0.351
L_149_C5,149,C5,390,109,0.4,0.51,0.798
L_150_C6,150,C6,513.75,80,0.43,0.43,0.343
L_151_C6,151,C6,195,106,0.35,0.58,0.356
L_152_C5,152,C5,367.5,74,0.46,0.51,0.802
L_153_C5,153,C5,255,118,0.34,0.52,0.822
L_154_C3,154,C3,367.5,74,0.34,0.47,0.608
L_155_C4,155,C4,333.75,112,0.41,0.41,0.272
L_156_C4,156,C4,131.25,89,0.33,0.42,0.266
L_157_C2,157,C2,450,108,0.36,0.55,0.393
L_158_C4,158,C4,371.25,105,0.5,0.5,0.27
L_159_C5,159,C5,180,121,0.49,0.34,0.834
L_160_C1,160,C1,251.25,113,0.42,0.34,0.552
L_161_C6,161,C6,183.75,116,0.45,0.45,0.348
L_162_C5,162,C5,363.75,130,0.37,0.39,0.8
L_163_C1,163,C1,97.5,97,0.49,0.34,0.547
L_164_C5,164,C5,506.25,108,0.35,0.49,0.829
L_165_C4,165,C4,138.75,83,0.46,0.42,0.272
L_166_C4,166,C4,142.5,99,0.35,0.46,0.267
L_167_C4,167,C4,438.75,104,0.46,0.5,0.274
L_168_C2,168,C2,517.5,124,0.34,0.58,0.412
L_169_C2,169,C2,277.5,124,0.46,0.33,0.41
L_170_C5,170,C5,296.25,113,0.43,0.37,0.829
L_171_C3,171,C3,131.25,97,0.48,0.32,0.588
L_172_C1,172,C1,521.25,101,0.38,0.43,0.556
L_173_C1,173,C1,213.75,100,0.5,0.37,0.552
L_174_C2,174,C2,187.5,126,0.36,0.59,0.414
L_175_C1,175,C1,517.5,71,0.41,0.57,0.55
L_176_C1,176,C1,131.25,114,0.41,0.54,0.557
L_177_C3,177,C3,123.75,75,0.44,0.39,0.589
L_178_C6,178,C6,363.75,73,0.37,0.48,0.346
L_179_C4,179,C4,142.5,121,0.47,0.58,0.264
L_180_C2,180,C2,495,79,0.45,0.32,0.416
L_181_C4,181,C4,116.25,110,0.35,0.5,0.274
L_182_C2,182,C2,401.25,101,0.4,0.46,0.403
L_183_C5,183,C5,431.25,80,0.45,0.56,0.818
L_184_C1,184,C1,217.5,104,0.31,0.44,0.542
L_185_C6,185,C6,547.5,103,0.5,0.41,0.357
L_186_C5,186,C5,453.75,96,0.43,0.59,0.792
L_187_C2,187,C2,318.75,73,0.33,0.58,0.401
L_188_C2,188,C2,243.75,90,0.3,0.53,0.418
L_189_C4,189,C4,172.5,90,0.43,0.53,0.277
L_190_C5,190,C5,547.5,129,0.34,0.48,0.832
L_191_C1,191,C1,528.75,118,0.43,0.55,0.55
L_192_C1,192,C1,150,84,0.38,0.54,0.548
L_193_C6,193,C6,363.75,109,0.34,0.5,0.359
